,link,City,District,Street,Meters,Floor,Rooms,Price
142,/oferta/sprzedaz-mieszkanie-warszawa-ursus-ryzowa-42m2-mzn2045112929,Warszawa,Skorosze,Ryżowa,42.0,2/6,2,695000
143,/oferta/sprzedaz-mieszkanie-warszawa-ursus-quo-vadis-43m2-mzn2045274509,Warszawa,Ursus,Ursus,43.0,1/6,2,780000
144,/oferta/sprzedaz-mieszkanie-warszawa-ursus-prystora-51m2-mzn2045224804,Warszawa,Skorosze,Aleksandra Prystora,51.0,5/6,3,860000
145,/oferta/sprzedaz-mieszkanie-warszawa-ursus-40m2-mzn2045242769,Warszawa,Ursus,Ursus,40.0,1/4,2,590000
146,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-szeligowska-65m2-mzn2044815898,Warszawa,Bemowo,Szeligowska,65.0,5/5,3,650000
147,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-lopuszanska-57m2-mzn2045182939,Warszawa,Włochy,Włochy,57.0,4/5,3,1099900
148,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-edmunda-jana-osmanczyka-72m2-mzn2045087661,Warszawa,Bemowo,Edmunda Jana Osmańczyka,72.0,3/7,3,1199000
149,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-juliusza-kaden-bandrowskiego-62m2-mzn2045107085,Warszawa,Bemowo,Juliusza Kaden-Bandrowskiego,62.0,9/12,3,740000
150,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-powstancow-slaskich-77m2-mzn2045075776,Warszawa,Bemowo,Powstańców Śląskich,77.0,5/5,3,1200000
151,/oferta/sprzedaz-mieszkanie-warszawa-stanislawa-szobera-61m2-mzn2044043755,mazowieckie,Warszawa,Stanisława Szobera,61.0,2/4,3,849000
152,/oferta/sprzedaz-mieszkanie-warszawa-ursus-jacka-i-agatki-42m2-mzn2044926048,Warszawa,Ursus,Jacka i Agatki,42.0,1/3,2,478000
153,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-mikolajska-52m2-mzn2045229408,Warszawa,Stare Włochy,Mikołajska,52.0,-1/2,2,610000
154,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-powstancow-slaskich-45m2-mzn2045257934,Warszawa,Bemowo,Powstańców Śląskich,45.0,5/8,2,799000
155,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-sosnowiecka-48m2-mzn2045132336,Warszawa,Bemowo,Sosnowiecka,48.0,0/2,2,684131
156,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-muszlowa-45m2-mzn2045158525,Warszawa,Bemowo,Muszlowa,45.0,7/8,2,730000
157,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-gorczewska-45m2-mzn2045175908,Warszawa,Bemowo,Górczewska,45.0,1/4,2,799000
158,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-obywatelska-59m2-mzn2043999756,Warszawa,Nowe Włochy,Obywatelska,59.0,3/4,3,920000
159,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-gen-sylwestra-kaliskiego-55m2-mzn2044537239,Warszawa,Bemowo,gen. Sylwestra Kaliskiego,55.0,2/2,2,775000
160,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-szybka-35m2-mzn2044339049,Warszawa,Włochy,Szybka,35.0,4/5,2,735000
